tensor(0.0415, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.1794, device='cuda:0')
tensor(0.0310, device='cuda:0')
tensor(0.1060, device='cuda:0')
tensor(0.0928, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.0931, device='cuda:0')
tensor(0.0592, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.0448, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.0867, device='cuda:0')
tensor(0.1492, device='cuda:0')
tensor(0.0865, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.1474, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.0385, device='cuda:0')
tensor(0.1128, device='cuda:0')
tensor(0.0985, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.0802, device='cuda:0')
tensor(0.0358, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1872, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.0972, device='cuda:0')
tensor(0.0972, device='cuda:0')
tensor(0.1871, device='cuda:0')
tensor(0.0947, device='cuda:0')
tensor(0.0408, device='cuda:0')
tensor(0.1590, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.0512, device='cuda:0')
tensor(0.1094, device='cuda:0')
tensor(0.0999, device='cuda:0')
tensor(0.1603, device='cuda:0')
tensor(0.0896, device='cuda:0')
tensor(0.0441, device='cuda:0')
tensor(0.1391, device='cuda:0')
tensor(0.1698, device='cuda:0')
tensor(0.0352, device='cuda:0')
tensor(0.1022, device='cuda:0')
tensor(0.0955, device='cuda:0')
tensor(0.1728, device='cuda:0')
tensor(0.0875, device='cuda:0')
tensor(0.0374, device='cuda:0')
tensor(0.1623, device='cuda:0')
tensor(0.1608, device='cuda:0')
tensor(0.0294, device='cuda:0')
tensor(0.1011, device='cuda:0')
tensor(0.1019, device='cuda:0')
tensor(0.1707, device='cuda:0')
tensor(0.0683, device='cuda:0')
tensor(0.0406, device='cuda:0')
tensor(0.1683, device='cuda:0')
tensor(0.1810, device='cuda:0')
tensor(0.0284, device='cuda:0')
tensor(0.0913, device='cuda:0')
tensor(0.0974, device='cuda:0')
tensor(0.1852, device='cuda:0')
tensor(0.0749, device='cuda:0')
tensor(0.0302, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1497, device='cuda:0')
tensor(0.0292, device='cuda:0')
tensor(0.1044, device='cuda:0')
tensor(0.0980, device='cuda:0')
tensor(0.1593, device='cuda:0')
tensor(0.0812, device='cuda:0')
tensor(0.0528, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1331, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(0.1304, device='cuda:0')
tensor(0.0962, device='cuda:0')
tensor(0.1514, device='cuda:0')
tensor(0.0843, device='cuda:0')
tensor(0.0379, device='cuda:0')
tensor(0.1719, device='cuda:0')
tensor(0.1760, device='cuda:0')
tensor(0.0377, device='cuda:0')
tensor(0.1032, device='cuda:0')
tensor(0.0969, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.0770, device='cuda:0')
tensor(0.0371, device='cuda:0')
tensor(0.1778, device='cuda:0')
tensor(0.1952, device='cuda:0')
tensor(0.0266, device='cuda:0')
tensor(0.1003, device='cuda:0')
tensor(0.1073, device='cuda:0')
tensor(0.1785, device='cuda:0')
tensor(0.0896, device='cuda:0')
tensor(0.0439, device='cuda:0')
tensor(0.1506, device='cuda:0')
tensor(0.1510, device='cuda:0')
tensor(0.0328, device='cuda:0')
tensor(0.1013, device='cuda:0')
tensor(0.0992, device='cuda:0')
tensor(0.1739, device='cuda:0')
tensor(0.0730, device='cuda:0')
tensor(0.0443, device='cuda:0')
tensor(0.1611, device='cuda:0')
tensor(0.1597, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(0.0967, device='cuda:0')
tensor(0.0845, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.0868, device='cuda:0')
tensor(0.0468, device='cuda:0')
tensor(0.1843, device='cuda:0')
tensor(0.1759, device='cuda:0')
tensor(0.0335, device='cuda:0')
