tensor(0.1300, grad_fn=<MseLossBackward>)
tensor(0.1178, grad_fn=<MseLossBackward>)
tensor(0.0106, grad_fn=<MseLossBackward>)
tensor(0.1030, grad_fn=<MseLossBackward>)
tensor(0.0296, grad_fn=<MseLossBackward>)
tensor(0.1325, grad_fn=<MseLossBackward>)
tensor(0.0987, grad_fn=<MseLossBackward>)
tensor(0.0598, grad_fn=<MseLossBackward>)
tensor(0.0662, grad_fn=<MseLossBackward>)
tensor(0.0640, grad_fn=<MseLossBackward>)
tensor(0.0352, grad_fn=<MseLossBackward>)
tensor(0.0107, grad_fn=<MseLossBackward>)
tensor(0.0111, grad_fn=<MseLossBackward>)
tensor(0.0099, grad_fn=<MseLossBackward>)
tensor(0.1351, grad_fn=<MseLossBackward>)
tensor(0.1586, grad_fn=<MseLossBackward>)
tensor(0.1010, grad_fn=<MseLossBackward>)
tensor(0.0114, grad_fn=<MseLossBackward>)
tensor(0.0202, grad_fn=<MseLossBackward>)
tensor(0.0138, grad_fn=<MseLossBackward>)
tensor(0.0104, grad_fn=<MseLossBackward>)
tensor(0.0140, grad_fn=<MseLossBackward>)
tensor(0.1799, grad_fn=<MseLossBackward>)
tensor(0.0119, grad_fn=<MseLossBackward>)
tensor(0.0126, grad_fn=<MseLossBackward>)
tensor(0.1190, grad_fn=<MseLossBackward>)
tensor(0.1505, grad_fn=<MseLossBackward>)
tensor(0.1558, grad_fn=<MseLossBackward>)
tensor(0.1660, grad_fn=<MseLossBackward>)
tensor(0.1161, grad_fn=<MseLossBackward>)
tensor(0.0151, grad_fn=<MseLossBackward>)
tensor(0.0292, grad_fn=<MseLossBackward>)
tensor(0.1353, grad_fn=<MseLossBackward>)
tensor(0.0415, grad_fn=<MseLossBackward>)
tensor(0.1282, grad_fn=<MseLossBackward>)
tensor(0.0391, grad_fn=<MseLossBackward>)
tensor(0.0173, grad_fn=<MseLossBackward>)
tensor(0.1175, grad_fn=<MseLossBackward>)
tensor(0.0331, grad_fn=<MseLossBackward>)
tensor(0.0886, grad_fn=<MseLossBackward>)
tensor(0.0424, grad_fn=<MseLossBackward>)
tensor(0.0371, grad_fn=<MseLossBackward>)
tensor(0.0258, grad_fn=<MseLossBackward>)
tensor(0.1214, grad_fn=<MseLossBackward>)
tensor(0.0211, grad_fn=<MseLossBackward>)
tensor(0.1412, grad_fn=<MseLossBackward>)
tensor(0.0096, grad_fn=<MseLossBackward>)
tensor(0.0176, grad_fn=<MseLossBackward>)
tensor(0.0134, grad_fn=<MseLossBackward>)
tensor(0.0123, grad_fn=<MseLossBackward>)
tensor(0.0143, grad_fn=<MseLossBackward>)
tensor(0.0126, grad_fn=<MseLossBackward>)
tensor(0.0059, grad_fn=<MseLossBackward>)
tensor(0.1227, grad_fn=<MseLossBackward>)
tensor(0.0138, grad_fn=<MseLossBackward>)
tensor(0.1731, grad_fn=<MseLossBackward>)
tensor(0.0188, grad_fn=<MseLossBackward>)
