tensor(0.0909, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.0203, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.1548, device='cuda:0')
tensor(0.0703, device='cuda:0')
tensor(0.0459, device='cuda:0')
tensor(0.0067, device='cuda:0')
tensor(0.1107, device='cuda:0')
tensor(0.0192, device='cuda:0')
tensor(0.0532, device='cuda:0')
tensor(0.0063, device='cuda:0')
tensor(0.1526, device='cuda:0')
tensor(0.0750, device='cuda:0')
tensor(0.0661, device='cuda:0')
tensor(0.0114, device='cuda:0')
tensor(0.1095, device='cuda:0')
tensor(0.0223, device='cuda:0')
tensor(0.0307, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.1648, device='cuda:0')
tensor(0.0702, device='cuda:0')
tensor(0.0710, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.0155, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0093, device='cuda:0')
tensor(0.1177, device='cuda:0')
tensor(0.0470, device='cuda:0')
tensor(0.0587, device='cuda:0')
tensor(0.0211, device='cuda:0')
tensor(0.0887, device='cuda:0')
tensor(0.0254, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.0033, device='cuda:0')
tensor(0.1952, device='cuda:0')
tensor(0.1241, device='cuda:0')
tensor(0.0232, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.0525, device='cuda:0')
tensor(0.0410, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.1439, device='cuda:0')
tensor(0.0526, device='cuda:0')
tensor(0.0642, device='cuda:0')
tensor(0.0076, device='cuda:0')
tensor(0.0892, device='cuda:0')
tensor(0.0143, device='cuda:0')
tensor(0.0171, device='cuda:0')
tensor(0.0055, device='cuda:0')
tensor(0.1782, device='cuda:0')
tensor(0.0974, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.1248, device='cuda:0')
tensor(0.0354, device='cuda:0')
tensor(0.0099, device='cuda:0')
tensor(0.0030, device='cuda:0')
tensor(0.1385, device='cuda:0')
tensor(0.0648, device='cuda:0')
tensor(0.0293, device='cuda:0')
tensor(0.0095, device='cuda:0')
tensor(0.1118, device='cuda:0')
tensor(0.0324, device='cuda:0')
tensor(0.0079, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.1818, device='cuda:0')
tensor(0.1228, device='cuda:0')
tensor(0.0230, device='cuda:0')
tensor(0.0053, device='cuda:0')
tensor(0.1336, device='cuda:0')
tensor(0.0538, device='cuda:0')
tensor(0.0289, device='cuda:0')
tensor(0.0061, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.0879, device='cuda:0')
tensor(0.0408, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.1253, device='cuda:0')
tensor(0.0181, device='cuda:0')
tensor(0.0239, device='cuda:0')
tensor(0.0048, device='cuda:0')
tensor(0.1635, device='cuda:0')
tensor(0.0735, device='cuda:0')
tensor(0.0391, device='cuda:0')
tensor(0.0066, device='cuda:0')
tensor(0.1165, device='cuda:0')
tensor(0.0304, device='cuda:0')
tensor(0.0157, device='cuda:0')
tensor(0.0036, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.0975, device='cuda:0')
tensor(0.0315, device='cuda:0')
tensor(0.0051, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.0451, device='cuda:0')
tensor(0.0370, device='cuda:0')
